"year","month","carrier","carrier_name","arr_flights","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","cause_total"
2021,6,"YX","Republic Airline",30811,160019,35481,117423,612,173670,487205
2021,7,"YX","Republic Airline",32691,186767,38052,119806,1304,194727,540656
2021,8,"YX","Republic Airline",31808,174543,38108,131228,529,172507,516915
2021,9,"YX","Republic Airline",29775,85192,17233,54705,89,72826,230045
2021,10,"YX","Republic Airline",29093,70595,7682,55208,527,59343,193355
2021,11,"YX","Republic Airline",27553,61302,2139,60481,592,67820,192334
2021,12,"YX","Republic Airline",27642,81684,18942,63585,423,53532,218166
2022,1,"YX","Republic Airline",27262,111748,16021,81760,220,97233,306982
2022,2,"YX","Republic Airline",24635,94736,14098,96393,345,131374,336946
2022,3,"YX","Republic Airline",30099,127836,19462,130074,558,162220,440150
2022,4,"YX","Republic Airline",29965,98803,14191,99561,158,146724,359437
2022,5,"YX","Republic Airline",31088,181728,26306,143842,158,233730,585764
2022,6,"YX","Republic Airline",28118,145134,29352,130615,238,148174,453513
2022,7,"YX","Republic Airline",26714,108513,29503,106767,119,157776,402678
2022,8,"YX","Republic Airline",26686,98931,26715,107715,222,106988,340571
2022,9,"YX","Republic Airline",25344,49575,9772,68650,241,66245,194483
2022,10,"YX","Republic Airline",23874,49546,7561,80539,157,76062,213865
2022,11,"YX","Republic Airline",22051,47272,10030,75101,327,69385,202115
2022,12,"YX","Republic Airline",20786,55181,15997,78432,173,63778,213561
2023,1,"YX","Republic Airline",24485,49343,13079,103827,61,82097,248407
2023,2,"YX","Republic Airline",23747,44556,13559,69056,42,59476,186689
2023,3,"YX","Republic Airline",27899,66655,7838,73859,227,58133,206712
2023,4,"YX","Republic Airline",27115,68601,20807,85607,243,111660,286918
2023,5,"YX","Republic Airline",26561,37800,1481,27755,159,36877,104072
2023,6,"YX","Republic Airline",23900,73038,30039,111832,256,89353,304518
2023,7,"YX","Republic Airline",25390,102491,49680,149435,289,127921,429816
2023,8,"YX","Republic Airline",24344,50180,15826,59377,469,64976,190828
2023,9,"YX","Republic Airline",24862,70509,22140,95952,367,74417,263385
2023,10,"YX","Republic Airline",23669,32838,1127,24145,191,35892,94193
2023,11,"YX","Republic Airline",22024,22734,870,19268,75,19272,62219
2023,12,"YX","Republic Airline",21655,31988,6200,31297,185,38319,107989
2024,1,"YX","Republic Airline",22957,75394,30897,80935,116,98713,286055
2024,2,"YX","Republic Airline",21623,23251,5810,31065,170,35325,95621
2024,3,"YX","Republic Airline",24377,35758,7276,41924,242,38961,124161
2024,4,"YX","Republic Airline",23899,53418,10711,59479,156,58213,181977
2024,5,"YX","Republic Airline",25555,66897,21891,89079,262,103353,281482
2024,6,"YX","Republic Airline",24524,81966,40766,96950,142,85185,305009
2024,7,"YX","Republic Airline",25642,128459,32172,146253,205,141836,448925
2024,8,"YX","Republic Airline",25919,100692,38567,117282,351,108994,365886
2024,9,"YX","Republic Airline",25439,37698,7166,49088,102,41865,135919
2024,10,"YX","Republic Airline",27176,37665,2637,41094,163,33149,114708
2024,11,"YX","Republic Airline",27300,50267,8772,74365,395,63458,197257
2024,12,"YX","Republic Airline",27288,76692,13332,92548,296,110026,292894
2025,1,"YX","Republic Airline",27854,71461,11020,83919,181,67176,233757
2025,2,"YX","Republic Airline",25512,92231,18949,124334,250,118361,354125
2025,3,"YX","Republic Airline",28854,88913,17453,99422,251,103692,309731
2025,4,"YX","Republic Airline",28396,75017,11278,97654,110,85593,269652
2025,5,"YX","Republic Airline",28075,95345,26231,203460,586,164686,490308
2025,6,"YX","Republic Airline",28903,148091,41391,186225,266,227697,603670
2025,7,"YX","Republic Airline",30400,165727,58749,209951,177,224694,659298
2025,8,"YX","Republic Airline",30040,102023,27176,102541,113,118360,350213
2025,9,"YX","Republic Airline",28296,68546,18367,122176,400,109532,319021
2025,10,"YX","Republic Airline",30382,81054,11159,181092,231,173731,447267
2025,11,"YX","Republic Airline",29367,96604,15540,182021,202,185081,479448
2025,12,"YX","Republic Airline",30225,145287,41266,182743,519,312140,681955
